name,time,time_left,last_online,last_update,init_DartMonkey,init_BoomerangMonkey,init_BombShooter,init_TackShooter,init_IceMonkey,init_GlueGunner,init_Desperado,init_SniperMonkey,init_MonkeySub,init_MonkeyBuccaneer,init_MonkeyAce,init_HeliPilot,init_MortarMonkey,init_DartlingGunner,init_WizardMonkey,init_SuperMonkey,init_NinjaMonkey,init_Alchemist,init_Druid,init_Mermonkey,init_BananaFarm,init_SpikeFactory,init_MonkeyVillage,init_EngineerMonkey,init_BeastHandler,init_Quincy,init_Gwendolin,init_StrikerJones,init_ObynGreenfoot,init_Silas,init_Benjamin,init_PatFusty,init_CaptainChurchill,init_Ezili,init_Rosalia,init_Etienne,init_Sauda,init_Adora,init_AdmiralBrickell,init_Psi,init_Geraldo,init_Corvus,init_gamecount,init_follower,DartMonkey,BoomerangMonkey,BombShooter,TackShooter,IceMonkey,GlueGunner,Desperado,SniperMonkey,MonkeySub,MonkeyBuccaneer,MonkeyAce,HeliPilot,MortarMonkey,DartlingGunner,WizardMonkey,SuperMonkey,NinjaMonkey,Alchemist,Druid,Mermonkey,BananaFarm,SpikeFactory,MonkeyVillage,EngineerMonkey,BeastHandler,Quincy,Gwendolin,StrikerJones,ObynGreenfoot,Silas,Benjamin,PatFusty,CaptainChurchill,Ezili,Rosalia,Etienne,Sauda,Adora,AdmiralBrickell,Psi,Geraldo,Corvus,gamecount,follower,url,pfp_url
SBL,110550,4421000,0,1774602399578.0,28,31,16,17,27,31,10,27,7,55,14,5,13,12,22,7,53,14,23,10,55,15,11,27,56,0,0,0,3,,1,10,3,0,0,0,2,1,0,2,0,0,80,0,104,7,4,3,10,3,3,19,6,6,34,4,3,3,4,7,7,8,5,4,59,21,8,39,3,3,0,0,2,,2,0,0,0,0,0,0,5,0,0,2,0,21,1,https://data.ninjakiwi.com/btd6/users/9fb6448add96fef11a1388195c7ae27e9f0118e89a15d96c,https://static-api.nkstatic.com/appdocs/4/assets/opendata/db32af61df5646951a18c60fe0013a31_ProfileAvatar01.png
aWilo_,223583,7082000,0,,20993,13913,12689,24874,9650,3362,291,5779,8900,8646,7449,2139,6254,1318,13334,1230,3521,25177,15749,2880,8679,645,13778,1970,513,1944,5338,1251,641,27.0,2260,307,524,362,319,413,3066,95,908,145,967,102,41497,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9ceb41df8c9ef1f31c40de180b27e372c9044ce99645d86b,https://static-api.nkstatic.com/appdocs/4/assets/opendata/340b3b9c7393fa0bf0ecd8c42cdd3258_ProfileAvatar44.png
Blue Monkey,247267,1528000,6264550,,8392,4848,2258,4953,4898,1308,1130,2985,3200,7150,1401,1355,1420,2101,3683,1629,2025,3789,2708,5430,8722,1602,3692,1144,383,192,882,90,121,119.0,413,50,80,27,244,43,433,137,247,146,239,0,14659,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb844d8d7c2fcac4d14dd4c5c20b471c4041fe89f18d86a,https://static-api.nkstatic.com/appdocs/4/assets/opendata/dde591f892378966311bee7369cf6d05_ProfileAvatar38.png
thericeman1125,251417,1117000,6264550,,3530,2078,1977,2448,3886,385,918,606,1541,2216,561,176,1969,758,1394,291,1270,4776,1360,4425,1717,552,2448,626,368,413,1076,128,60,72.0,95,18,440,22,645,18,67,29,163,3,79,0,6812,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb61389dc95fca6184a8e1e0921e624c85548b99c42d86a,https://static-api.nkstatic.com/appdocs/4/assets/opendata/277d4c265ed71fcb8aff04bbeadfa971_ProfileAvatar39.png
striker,253383,5309000,6264550,,2089,1082,582,953,958,445,489,1069,704,1079,1111,563,283,331,1070,387,815,1150,722,1130,1348,777,951,567,193,67,38,20,48,89.0,223,17,378,54,131,340,213,60,23,126,85,2,3359,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fbe1eddde91faa11b40d91f5f26e576c40c48be9d178969,https://static-api.nkstatic.com/appdocs/4/assets/opendata/90c55ab36f3552975a6eb7251c17319d_ProfileAvatar55.png
PLSFIXURGAME,192517,10678000,11801771,,3799,2805,1952,3107,4488,415,2550,1232,3516,2066,995,321,3845,1880,2261,604,1269,9045,1374,9327,2236,620,3222,706,283,275,2711,279,93,217.0,580,23,213,28,704,15,214,39,83,33,91,29,10762,74,0,0,0,0,61,0,0,0,25,44,31,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,45,2,https://data.ninjakiwi.com/btd6/users/9fb7458fd794aba51817884d5e72e472ca031de99f14d83b,https://static-api.nkstatic.com/appdocs/4/assets/opendata/4d4121dc6cc8f11366b9a29d8caccae9_ProfileAvatar60.png
TitaniumLithium,262133,5406000,0,,4161,2630,678,2978,1748,558,782,1507,1444,2675,1199,304,357,535,1576,342,1087,4102,1692,1294,3169,1158,2932,1527,426,264,315,50,185,135.0,630,12,48,43,307,55,196,0,181,9,205,0,4965,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fb846d8db95fbf61d438a190b7be67eca054ebec811d83f,https://static-api.nkstatic.com/appdocs/4/assets/opendata/50113dcf0d0abda55e034354668add69_ProfileAvatar97.png
YSSSS,277950,2152000,6264550,,13735,6045,4175,9533,10306,2685,2819,7587,3964,6099,6041,1839,2677,2582,6854,1223,2435,15983,7477,9419,4697,4176,7110,2308,2151,279,1252,279,718,404.0,1336,290,268,166,848,2052,1735,55,479,1184,1139,72,22661,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://data.ninjakiwi.com/btd6/users/9fbc1edfd7c3fff04e458f4a5d20b576c4054cb59618d93b,https://static-api.nkstatic.com/appdocs/4/assets/opendata/63c5274154eebea4740279b7ee0f16ff_ProfileAvatar80.png
Gibson,202200,23683000,0,,5293,4373,3406,5606,5420,1728,528,2387,3046,9492,3077,3123,3047,2409,3431,1375,1048,4044,7709,1845,16117,1149,6026,4342,406,783,873,462,609,75.0,732,285,639,154,460,1878,1673,36,413,539,197,100,15086,14,1,1,0,1,21,1,0,0,10,16,6,2,0,1,0,0,0,1,2,37,12,2,0,1,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,4,0,0,0,22,0,https://data.ninjakiwi.com/btd6/users/9fbc43dddfc5a8ac1d16881e5721e37eca504fb89610d839,https://static-api.nkstatic.com/appdocs/4/assets/opendata/74f14994aa1c578f556126fe6cdcfded_ProfileAvatar85.png
Player5121281,343067,975000,0,,3362,1486,545,690,470,272,233,1069,1078,2914,530,610,301,359,1147,468,1187,633,912,605,2192,764,1081,693,242,187,179,63,311,33.0,270,0,24,6,68,1,196,30,91,4,0,1,3051,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data.ninjakiwi.com/btd6/users/9fbe1e8ed9c7fcf14d14871a5f72e471cb5748e9cb13dc30,https://static-api.nkstatic.com/appdocs/4/assets/opendata/ff853797e300ae69f8fbe20acabac75b_ProfileAvatar106.png
